n,algorithm,array_type,time_us,ops
100,bubble,random_0_4000,0.00022618750008405187,16490.0
200,bubble,random_0_4000,0.0009329374999651919,66958.0
300,bubble,random_0_4000,0.0020428458999958822,146768.0
400,bubble,random_0_4000,0.0038742749999073566,277213.0
500,bubble,random_0_4000,0.0063696332999825245,436875.0
600,bubble,random_0_4000,0.009587212499900489,629115.0
700,bubble,random_0_4000,0.012871020899910945,839595.0
800,bubble,random_0_4000,0.017076770900166592,1090360.0
900,bubble,random_0_4000,0.02193687500002852,1364636.0
1000,bubble,random_0_4000,0.027658933299971978,1706911.0
1100,bubble,random_0_4000,0.03325391250000394,2064796.0
1200,bubble,random_0_4000,0.03967461249994812,2460610.0
1300,bubble,random_0_4000,0.047191312499853665,2927716.0
1400,bubble,random_0_4000,0.053782237500126936,3403555.0
1500,bubble,random_0_4000,0.06300092080018657,3914175.0
1600,bubble,random_0_4000,0.07166044590012462,4441398.0
1700,bubble,random_0_4000,0.08080064579989994,5000760.0
1800,bubble,random_0_4000,0.09205457089992705,5587821.0
1900,bubble,random_0_4000,0.10220949579997977,6198920.0
2000,bubble,random_0_4000,0.11274640420015203,6884918.0
